"","simu","n_obs","mutation_rate","c","initial_trait_frequency","male_trait_first","male_trait_last","female_choice_first","female_choice_last","female_preference_last","mean_nb_meetings","nb_meetings_1","nb_matings_1","nb_females_meeting_1"
"166",166,20,0,0.7,0.0133928571428571,0.013446743162,0.013590425457,0.013397899175,0.005699971052,0,1.439072723,4.103,1.217,4.021
"167",167,25,0,0.7,0.0133928571428571,0.013561368384,0.013637870233,0.013199817848,0.005731670187,0,1.437929516,4.189,1.222,4.093
"168",168,30,0,0.7,0.0133928571428571,0.01336719717,0.013248597824,0.01362975404,0.005463345828,0,1.440263299,4.059,1.163,4.004
"169",169,0,0,0.8,0.0133928571428571,0.013401635187,0.013516576968,0.013304553988,0.027740005765,0.5008875105,3.040227526,8.761,5.929,8.619
"170",170,1,0,0.8,0.0133928571428571,0.013473367655,0.013202406286,0.013632693646,0.004132150921,0.013491893428,1.311706144,3.715,0.88,3.656
"171",171,5,0,0.8,0.0133928571428571,0.013475546106,0.013217481816,0.013704992335,0.003366746746,6.8609201e-05,1.261916013,3.536,0.716,3.489
"172",172,10,0,0.8,0.0133928571428571,0.013552666607,0.013595014081,0.013159980736,0.003581936613,0,1.263556671,3.717,0.761,3.655
"173",173,15,0,0.8,0.0133928571428571,0.013411116052,0.013336564032,0.013774415575,0.003150936654,0,1.261894779,3.528,0.671,3.463
"174",174,20,0,0.8,0.0133928571428571,0.013673134428,0.013440757277,0.01406531875,0.003443637834,0,1.261931452,3.744,0.735,3.67
"175",175,25,0,0.8,0.0133928571428571,0.01327772108,0.013323691908,0.013462864113,0.003370494745,0,1.263406356,3.673,0.719,3.599
"176",176,30,0,0.8,0.0133928571428571,0.013520131522,0.013496100003,0.013318361514,0.003349834004,0,1.263436981,3.664,0.714,3.589
"177",177,0,0,0.9,0.0133928571428571,0.013257906873,0.013332997184,0.013563820233,0.052040968113,0.497881181,5.080513254,13.795,11.136,13.581
"178",178,1,0,0.9,0.0133928571428571,0.01334881534,0.01316234834,0.013163586675,0.002796197798,0.013123220712,1.226079019,3.451,0.597,3.402
"179",179,5,0,0.9,0.0133928571428571,0.013188088005,0.013243921885,0.013259175103,0.001550528492,5.0837674e-05,1.123833888,3.165,0.33,3.113
"180",180,10,0,0.9,0.0133928571428571,0.013499747232,0.013551893954,0.013517319077,0.001467059355,0,1.124373156,3.176,0.312,3.113
"181",181,15,0,0.9,0.0133928571428571,0.01323228087,0.013248493522,0.01284600786,0.001444639051,0,1.124959936,3.21,0.308,3.141
"182",182,20,0,0.9,0.0133928571428571,0.013605650095,0.013501209086,0.01358848872,0.001511664669,0,1.125451824,3.271,0.319,3.215
